x,y,z,w
up,up,up,up
up,up,right,up
up,up,up,up
up,up,up,up
up,up,up,up
up,up,up,up
up,up,up,up
down,down,down,down
down,down,down,right
down,down,down,down
down,down,down,right
down,down,down,down
down,down,down,down
backward,backward,backward,backward
backward,backward,backward,backward
backward,backward,backward,backward
backward,up,backward,backward
backward,backward,backward,backward
backward,backward,backward,backward
backward,backward,backward,backward
forward,forward,forward,forward
forward,forward,forward,forward
forward,forward,forward,forward
forward,forward,forward,forward
forward,forward,forward,forward
forward,forward,forward,forward
forward,forward,forward,forward
forward,forward,forward,forward
forward,forward,forward,forward
forward,forward,forward,forward
left,left,left,left
left,left,left,left
left,left,left,up
left,left,left,left
left,left,left,left
left,left,left,left
left,left,left,left
left,left,left,up
left,left,left,left
left,left,left,up
left,left,left,up
left,left,left,left
right,right,right,right
right,right,right,right
right,right,right,right
right,right,right,right
right,right,right,right
right,right,right,right
right,right,right,right
